PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2001,9.19,5.69,2.39,0.43,0.0,0.0,0.0,0.16,1.52,3.98,8.21,9.99,3.46
ALLSKY_SFC_SW_DWN,2002,8.95,5.94,2.72,0.4,0.0,0.0,0.0,0.13,1.34,4.36,8.05,10.22,3.51
ALLSKY_SFC_SW_DWN,2003,9.27,5.73,2.59,0.42,0.0,0.0,0.0,0.12,1.41,4.45,8.25,10.56,3.57
ALLSKY_SFC_SW_DWN,2004,9.12,5.75,2.45,0.39,0.0,0.0,0.0,0.13,1.53,4.56,8.22,10.24,3.53
ALLSKY_SFC_SW_DWN,2005,9.02,5.66,2.32,0.39,0.0,0.0,0.0,0.14,1.43,4.49,8.64,10.2,3.52
ALLSKY_SFC_SW_DWN,2006,8.85,5.5,2.64,0.41,0.0,0.0,0.0,0.12,1.39,4.26,7.8,10.25,3.43
ALLSKY_SFC_SW_DWN,2007,9.17,5.85,2.64,0.43,0.0,0.0,0.0,0.12,1.36,4.13,7.28,10.46,3.45
ALLSKY_SFC_SW_DWN,2008,9.41,6.01,2.25,0.39,0.0,0.0,0.0,0.13,1.5,3.94,8.38,10.2,3.52
ALLSKY_SFC_SW_DWN,2009,8.93,5.92,2.37,0.38,0.0,0.0,0.0,0.15,1.37,4.28,8.04,10.24,3.47
ALLSKY_SFC_SW_DWN,2010,9.24,5.69,2.52,0.43,0.0,0.0,0.0,0.15,1.43,4.4,8.59,10.06,3.54
ALLSKY_SFC_SW_DWN,2011,9.4,5.56,2.46,0.41,0.0,0.0,0.0,0.12,1.35,4.36,8.16,10.19,3.5
ALLSKY_SFC_SW_DWN,2012,9.48,5.49,2.44,0.42,0.0,0.0,0.0,0.13,1.45,4.37,8.04,10.52,3.53
ALLSKY_SFC_SW_DWN,2013,9.37,5.8,2.39,0.38,0.0,0.0,0.0,0.15,1.57,4.27,7.68,10.15,3.48
ALLSKY_SFC_SW_DWN,2014,9.26,6.05,2.54,0.44,0.0,0.0,0.0,0.12,1.4,4.48,8.25,10.37,3.58
ALLSKY_SFC_SW_DWN,2015,9.09,6.01,2.44,0.42,0.0,0.0,0.0,0.13,1.34,4.23,7.65,10.65,3.5
ALLSKY_SFC_SW_DWN,2016,9.25,5.94,2.42,0.37,0.0,0.0,0.0,0.13,1.41,4.5,8.44,10.4,3.57
ALLSKY_SFC_SW_DWN,2017,8.99,5.69,2.5,0.37,0.0,0.0,0.0,0.14,1.4,4.57,8.02,9.83,3.46
ALLSKY_SFC_SW_DWN,2018,9.46,5.43,2.31,0.43,0.0,0.0,0.0,0.13,1.31,4.22,8.49,10.43,3.52
ALLSKY_SFC_SW_DWN,2019,9.1,5.71,2.68,0.42,0.0,0.0,0.0,0.13,1.4,4.38,8.02,10.44,3.52
ALLSKY_SFC_SW_DWN,2020,9.25,5.94,2.37,0.39,0.0,0.0,0.0,0.15,1.45,4.36,7.89,10.21,3.5
ALLSKY_SFC_SW_DWN,2021,9.12,5.76,2.18,0.37,0.0,0.0,0.0,0.14,1.44,4.45,8.12,9.79,3.45
